Comprehensive Analysis of PSMG3 in Pan-Cancer  and Validation of Its Role in Hepatocellular Carcinoma									
Table S3  GO analysis of DEGs of PSMG3 in LIHC									
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046686	response to cadmium ion	13/263	59/18870	1.27E-12	2.32E-10	1.92E-10	MT1H/CDK1/MT2A/CYP1A2/NUDT1/MT1E/MMP9/MT1G/MT1M/MT1X/MT1F/DTYMK/FOS	13
BP	GO:0006721	terpenoid metabolic process	15/263	98/18870	6.35E-12	1.09E-09	9.02E-10	CYP2C9/HSD17B6/ADH1A/RDH16/CYP2C8/ALDH8A1/ADH4/CYP2E1/CYP1A2/ADH6/ADH1C/HMGCS2/CYP3A4/ADH1B/UGT1A1	15
BP	GO:0006956	complement activation	13/263	67/18870	7.23E-12	1.17E-09	9.70E-10	C9/MBL2/CFHR4/CFHR5/FCN2/COLEC10/C4BPA/C6/C8A/FCN3/CD5L/C7/CFHR3	13
BP	GO:0016042	lipid catabolic process	25/263	334/18870	9.03E-12	1.38E-09	1.15E-09	AADAC/HSD17B6/CPS1/CYP39A1/SPP1/SLC27A2/HAO2/HSD11B1/CYP1A2/CYP4A11/APOA5/EHHADH/AKR1D1/PAFAH1B3/ABCB11/GBA3/SRD5A2/ANGPTL3/MFSD2A/SPHK1/CYP3A4/CYP4F2/PCK1/HAO1/SULT2A1	25
BP	GO:0006631	fatty acid metabolic process	27/263	401/18870	1.49E-11	2.17E-09	1.80E-09	CYP2C9/BAAT/PDK4/ACSL1/CYP2C8/ADH4/CYP2E1/SLC27A2/HAO2/CYP1A2/CYP4A11/APOA5/EHHADH/ABCB11/ACSM2A/ANGPTL3/MFSD2A/ACSM5/CYP4A22/CYP3A4/CYP4F2/CYP2B6/PCK1/SLC27A5/ACADSB/HAO1/CYP2A6	27
BP	GO:1901606	alpha-amino acid catabolic process	14/263	93/18870	4.11E-11	5.69E-09	4.72E-09	HPD/TAT/ARG1/ALDH8A1/OTC/AASS/CDO1/AGXT/PAH/SDS/MAT1A/ACADSB/ALDH6A1/TDO2	14
BP	GO:0019373	epoxygenase P450 pathway	8/263	18/18870	4.97E-11	6.57E-09	5.45E-09	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4F2/CYP2B6/CYP2A6	8
BP	GO:0071276	cellular response to cadmium ion	10/263	37/18870	5.83E-11	7.38E-09	6.12E-09	MT1H/MT2A/CYP1A2/MT1E/MMP9/MT1G/MT1M/MT1X/MT1F/FOS	10
BP	GO:0006066	alcohol metabolic process	25/263	373/18870	9.74E-11	1.18E-08	9.79E-09	CYP2C9/HSD17B6/ADH1A/CYP39A1/RDH16/MOGAT2/CYP2C8/ADH4/CYP1A2/ADH6/UGT1A4/AKR1D1/ANGPTL3/ADH1C/EPHX2/HMGCS2/SPHK1/APOF/CYP3A4/PCK1/G6PD/HAO1/ADH1B/LCAT/SULT2A1	25
BP	GO:0006720	isoprenoid metabolic process	15/263	133/18870	5.47E-10	6.36E-08	5.28E-08	CYP2C9/HSD17B6/ADH1A/RDH16/CYP2C8/ALDH8A1/ADH4/CYP2E1/CYP1A2/ADH6/ADH1C/HMGCS2/CYP3A4/ADH1B/UGT1A1	15
BP	GO:0010273	detoxification of copper ion	7/263	16/18870	9.70E-10	1.04E-07	8.67E-08	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:1990169	stress response to copper ion	7/263	16/18870	9.70E-10	1.04E-07	8.67E-08	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0006706	steroid catabolic process	8/263	25/18870	1.13E-09	1.13E-07	9.39E-08	HSD17B6/CYP39A1/SPP1/HSD11B1/CYP1A2/AKR1D1/SRD5A2/CYP3A4	8
BP	GO:0042178	xenobiotic catabolic process	8/263	25/18870	1.13E-09	1.13E-07	9.39E-08	CYP2C9/ACSL1/CYP2C8/CYP1A2/CYP3A4/CYP2B6/CYP2A6/UGT1A1	8
BP	GO:0001523	retinoid metabolic process	12/263	84/18870	1.94E-09	1.88E-07	1.56E-07	HSD17B6/ADH1A/RDH16/CYP2C8/ALDH8A1/ADH4/CYP1A2/ADH6/ADH1C/CYP3A4/ADH1B/UGT1A1	12
BP	GO:0042572	retinol metabolic process	10/263	52/18870	2.20E-09	2.07E-07	1.72E-07	HSD17B6/ADH1A/RDH16/CYP2C8/ADH4/CYP1A2/ADH6/ADH1C/CYP3A4/ADH1B	10
BP	GO:0016101	diterpenoid metabolic process	12/263	87/18870	2.94E-09	2.67E-07	2.21E-07	HSD17B6/ADH1A/RDH16/CYP2C8/ALDH8A1/ADH4/CYP1A2/ADH6/ADH1C/CYP3A4/ADH1B/UGT1A1	12
BP	GO:0072330	monocarboxylic acid biosynthetic process	18/263	226/18870	3.06E-09	2.70E-07	2.24E-07	CYP2C9/BAAT/PDK4/CYP39A1/CYP8B1/CYP2C8/ALDH8A1/CYP2E1/SLC27A2/CYP1A2/APOA5/SDS/AKR1D1/ABCB11/ACSM2A/ACSM5/CYP3A4/SLC27A5	18
BP	GO:0001676	long-chain fatty acid metabolic process	13/263	110/18870	4.44E-09	3.80E-07	3.15E-07	CYP2C9/ACSL1/CYP2C8/CYP2E1/SLC27A2/CYP1A2/CYP4A11/CYP4A22/CYP3A4/CYP4F2/CYP2B6/SLC27A5/CYP2A6	13
BP	GO:0008652	amino acid biosynthetic process	11/263	77/18870	9.28E-09	7.50E-07	6.22E-07	CPS1/ABAT/BHMT/OTC/AASS/AGXT/PAH/SDS/PYCR1/HAO1/CTH	11
BP	GO:0097501	stress response to metal ion	7/263	21/18870	9.28E-09	7.50E-07	6.22E-07	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0042573	retinoic acid metabolic process	8/263	33/18870	1.31E-08	1.03E-06	8.55E-07	ADH1A/CYP2C8/ALDH8A1/ADH6/ADH1C/CYP3A4/ADH1B/UGT1A1	8
BP	GO:0061687	detoxification of inorganic compound	7/263	22/18870	1.35E-08	1.03E-06	8.55E-07	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0015711	organic anion transport	24/263	443/18870	1.59E-08	1.18E-06	9.81E-07	SLC38A4/ABAT/SLC13A5/SLC6A1/SLC7A2/AQP9/NMB/ACSL1/SLC25A47/ABCB4/SLC27A2/CYP4A11/AGXT/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/SLC2A2/CYP4F2/SLC27A5/SLC52A2/SLC6A8/SLC22A1	24
BP	GO:0000819	sister chromatid segregation	17/263	225/18870	1.86E-08	1.36E-06	1.13E-06	MYBL2/TOP2A/KIF2C/CDK1/CCNB1/CDT1/AURKB/CDCA8/TACC3/UBE2C/CDC20/KIFC1/BIRC5/CDCA5/ZWINT/TPX2/SPC24	17
BP	GO:0006790	sulfur compound metabolic process	20/263	317/18870	2.18E-08	1.54E-06	1.28E-06	BAAT/PDK4/CPS1/ACSL1/BHMT/SLC27A2/GHR/AASS/CDO1/GNMT/AGXT/FMO3/GLYAT/ACSM2A/ACSM5/HMGCS2/MAT1A/CTH/TDO2/SULT2A1	20
BP	GO:0046942	carboxylic acid transport	21/263	351/18870	2.40E-08	1.65E-06	1.37E-06	SLC38A4/ABAT/SLC13A5/SLC6A1/SLC7A2/AQP9/NMB/ACSL1/ABCB4/SLC27A2/CYP4A11/AGXT/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/CYP4F2/SLC27A5/SLC6A8/SLC22A1	21
BP	GO:0006959	humoral immune response	18/263	258/18870	2.44E-08	1.65E-06	1.37E-06	C9/HRG/MBL2/CFHR4/CFHR5/FCN2/FGA/COLEC10/C4BPA/ROMO1/C6/C8A/FCN3/HPX/CD5L/C7/CFHR3/RPS19	18
BP	GO:0015849	organic acid transport	21/263	352/18870	2.53E-08	1.67E-06	1.39E-06	SLC38A4/ABAT/SLC13A5/SLC6A1/SLC7A2/AQP9/NMB/ACSL1/ABCB4/SLC27A2/CYP4A11/AGXT/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/CYP4F2/SLC27A5/SLC6A8/SLC22A1	21
BP	GO:0071294	cellular response to zinc ion	7/263	24/18870	2.67E-08	1.72E-06	1.43E-06	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0034308	primary alcohol metabolic process	12/263	106/18870	2.88E-08	1.82E-06	1.51E-06	HSD17B6/ADH1A/RDH16/CYP2C8/ADH4/CYP1A2/ADH6/ADH1C/CYP3A4/HAO1/ADH1B/SULT2A1	12
BP	GO:0010043	response to zinc ion	9/263	51/18870	3.16E-08	1.96E-06	1.62E-06	MT1H/CPS1/OTC/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	9
BP	GO:0046688	response to copper ion	8/263	37/18870	3.48E-08	2.11E-06	1.75E-06	MT1H/CDK1/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	8
BP	GO:1901607	alpha-amino acid biosynthetic process	10/263	69/18870	3.85E-08	2.28E-06	1.90E-06	CPS1/BHMT/OTC/AASS/AGXT/PAH/SDS/PYCR1/HAO1/CTH	10
BP	GO:0000070	mitotic sister chromatid segregation	15/263	184/18870	4.78E-08	2.78E-06	2.31E-06	MYBL2/KIF2C/CDK1/CCNB1/CDT1/AURKB/CDCA8/UBE2C/CDC20/KIFC1/BIRC5/CDCA5/ZWINT/TPX2/SPC24	15
BP	GO:0071280	cellular response to copper ion	7/263	26/18870	4.95E-08	2.82E-06	2.34E-06	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0140014	mitotic nuclear division	18/263	274/18870	6.11E-08	3.34E-06	2.77E-06	UBE2S/MYBL2/KIF2C/IGF2/CDK1/CCNB1/CDT1/AURKB/CDCA8/UBE2C/CDC20/KIFC1/SPHK1/BIRC5/CDCA5/ZWINT/TPX2/SPC24	18
BP	GO:0031640	killing of cells of another organism	11/263	92/18870	6.21E-08	3.34E-06	2.77E-06	C9/HRG/MBL2/ARG1/CFHR5/ROMO1/C6/C8A/C7/RPS19/HAMP	11
BP	GO:0141061	disruption of cell in another organism	11/263	92/18870	6.21E-08	3.34E-06	2.77E-06	C9/HRG/MBL2/ARG1/CFHR5/ROMO1/C6/C8A/C7/RPS19/HAMP	11
BP	GO:0008210	estrogen metabolic process	8/263	40/18870	6.69E-08	3.54E-06	2.94E-06	CYP2C9/UGT2B7/CYP2C8/UGT2B10/CYP1A2/UGT2B15/CYP3A4/UGT1A1	8
BP	GO:0098813	nuclear chromosome segregation	19/263	312/18870	8.65E-08	4.43E-06	3.68E-06	MYBL2/TOP2A/KIF2C/CDK1/CCNB1/CDT1/AURKB/CDCA8/TACC3/UBE2C/CCNB2/CDC20/KIFC1/BIRC5/CDCA5/ZWINT/TPX2/PTTG1/SPC24	19
BP	GO:1901616	organic hydroxy compound catabolic process	9/263	57/18870	8.68E-08	4.43E-06	3.68E-06	HSD17B6/CYP39A1/ADH4/CYP4A11/AKR1D1/CYP3A4/CYP4F2/HAO1/SULT2A1	9
BP	GO:0019369	arachidonic acid metabolic process	9/263	58/18870	1.02E-07	5.09E-06	4.23E-06	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4A22/CYP4F2/CYP2B6/CYP2A6	9
BP	GO:0097267	omega-hydroxylase P450 pathway	5/263	10/18870	1.21E-07	5.94E-06	4.93E-06	CYP2C9/CYP2C8/CYP1A2/CYP4A11/CYP4F2	5
BP	GO:0045471	response to ethanol	12/263	121/18870	1.27E-07	6.18E-06	5.13E-06	CRHBP/ABAT/CDK1/SPINK1/CDO1/ADH6/ABCB11/SLC10A1/HMGCS2/G6PD/FOS/UGT1A1	12
BP	GO:0141060	disruption of anatomical structure in another organism	11/263	99/18870	1.34E-07	6.35E-06	5.27E-06	C9/HRG/MBL2/ARG1/CFHR5/ROMO1/C6/C8A/C7/RPS19/HAMP	11
BP	GO:0007059	chromosome segregation	22/263	424/18870	1.37E-07	6.35E-06	5.27E-06	SAC3D1/MYBL2/TOP2A/KIF2C/CDK1/CCNB1/CDT1/AURKB/CENPW/CDCA8/TACC3/UBE2C/CCNB2/CENPM/CDC20/KIFC1/BIRC5/CDCA5/ZWINT/TPX2/PTTG1/SPC24	22
BP	GO:0009636	response to toxic substance	17/263	258/18870	1.38E-07	6.35E-06	5.27E-06	MT1H/CPS1/SLC6A1/CDK1/ADH4/ALB/MT2A/MT1E/GLYAT/EPHX2/MT1G/HP/TTPA/MT1M/MT1X/MT1F/FOS	17
BP	GO:1902652	secondary alcohol metabolic process	13/263	150/18870	1.87E-07	8.50E-06	7.05E-06	CYP2C9/CYP39A1/CYP1A2/UGT1A4/AKR1D1/ANGPTL3/EPHX2/HMGCS2/APOF/CYP3A4/G6PD/LCAT/SULT2A1	13
BP	GO:1903027	regulation of opsonization	5/263	11/18870	2.18E-07	9.78E-06	8.11E-06	MBL2/FCN2/COLEC10/C4BPA/FCN3	5
BP	GO:0015718	monocarboxylic acid transport	14/263	179/18870	2.25E-07	9.93E-06	8.24E-06	AQP9/NMB/ACSL1/ABCB4/SLC27A2/CYP4A11/SLCO1B1/ABCB11/SLC10A1/MFSD2A/CYP4F2/SLC27A5/SLC6A8/SLC22A1	14
BP	GO:0016125	sterol metabolic process	13/263	154/18870	2.54E-07	1.10E-05	9.16E-06	CYP2C9/CYP39A1/CYP8B1/CYP1A2/AKR1D1/ANGPTL3/EPHX2/HMGCS2/APOF/CYP3A4/G6PD/LCAT/SULT2A1	13
BP	GO:0000280	nuclear division	22/263	441/18870	2.69E-07	1.15E-05	9.56E-06	UBE2S/MYBL2/TOP2A/KIF2C/IGF2/CDK1/CCNB1/CDT1/AURKB/CDCA8/UBE2C/CCNB2/CDC20/KIFC1/SPHK1/BIRC5/CDCA5/CKS2/ZWINT/TPX2/PTTG1/SPC24	22
BP	GO:0072329	monocarboxylic acid catabolic process	12/263	131/18870	3.05E-07	1.29E-05	1.07E-05	SLC27A2/HAO2/CYP4A11/EHHADH/AGXT/AKR1D1/ABCB11/MFSD2A/CYP4F2/PCK1/HAO1/SULT2A1	12
BP	GO:0006067	ethanol metabolic process	6/263	21/18870	3.15E-07	1.31E-05	1.09E-05	ADH1A/ADH4/ADH6/ADH1C/ADH1B/SULT2A1	6
BP	GO:0000096	sulfur amino acid metabolic process	7/263	34/18870	3.68E-07	1.51E-05	1.25E-05	CPS1/BHMT/CDO1/GNMT/AGXT/MAT1A/CTH	7
BP	GO:0008206	bile acid metabolic process	8/263	50/18870	4.14E-07	1.67E-05	1.39E-05	BAAT/CYP39A1/CYP8B1/SLC27A2/AKR1D1/ABCB11/SLC27A5/SULT2A1	8
BP	GO:0030258	lipid modification	14/263	192/18870	5.31E-07	2.12E-05	1.76E-05	PDK4/CYP2C8/ADH4/CYP2E1/SLC27A2/HAO2/EHHADH/ABCB11/MFSD2A/EPHX2/CYP4A22/CYP3A4/CYP4F2/HAO1	14
BP	GO:0006882	intracellular zinc ion homeostasis	7/263	36/18870	5.57E-07	2.19E-05	1.82E-05	MT1H/MT2A/MT1E/MT1G/MT1M/MT1X/MT1F	7
BP	GO:0044242	cellular lipid catabolic process	15/263	223/18870	5.85E-07	2.22E-05	1.84E-05	AADAC/CPS1/SLC27A2/HAO2/CYP4A11/APOA5/EHHADH/ABCB11/GBA3/ANGPTL3/MFSD2A/SPHK1/CYP4F2/PCK1/HAO1	15
BP	GO:0097305	response to alcohol	16/263	254/18870	5.92E-07	2.22E-05	1.84E-05	CRHBP/ABAT/CYP8B1/CDK1/FOSB/SPINK1/CDO1/ADH6/ABCB11/SLC10A1/FBP1/HMGCS2/PCK1/G6PD/FOS/UGT1A1	16
BP	GO:0019627	urea metabolic process	5/263	13/18870	5.95E-07	2.22E-05	1.84E-05	CYP2C9/CPS1/ARG1/OTC/SLC25A15	5
BP	GO:0071941	nitrogen cycle metabolic process	5/263	13/18870	5.95E-07	2.22E-05	1.84E-05	CYP2C9/CPS1/ARG1/OTC/SLC25A15	5
BP	GO:0008203	cholesterol metabolic process	12/263	140/18870	6.28E-07	2.31E-05	1.92E-05	CYP2C9/CYP39A1/CYP1A2/AKR1D1/ANGPTL3/EPHX2/HMGCS2/APOF/CYP3A4/G6PD/LCAT/SULT2A1	12
BP	GO:0006699	bile acid biosynthetic process	7/263	37/18870	6.79E-07	2.47E-05	2.05E-05	BAAT/CYP39A1/CYP8B1/SLC27A2/AKR1D1/ABCB11/SLC27A5	7
BP	GO:0033047	regulation of mitotic sister chromatid segregation	8/263	54/18870	7.65E-07	2.75E-05	2.28E-05	CDK1/CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0071248	cellular response to metal ion	14/263	200/18870	8.69E-07	3.08E-05	2.56E-05	MT1H/CRHBP/SLC13A5/FOSB/MT2A/CYP1A2/MT1E/MMP9/FBP1/MT1G/MT1M/MT1X/MT1F/FOS	14
BP	GO:0006637	acyl-CoA metabolic process	10/263	96/18870	9.18E-07	3.18E-05	2.64E-05	BAAT/PDK4/ACSL1/SLC27A2/AASS/GLYAT/ACSM2A/ACSM5/HMGCS2/TDO2	10
BP	GO:0035383	thioester metabolic process	10/263	96/18870	9.18E-07	3.18E-05	2.64E-05	BAAT/PDK4/ACSL1/SLC27A2/AASS/GLYAT/ACSM2A/ACSM5/HMGCS2/TDO2	10
BP	GO:0007080	mitotic metaphase chromosome alignment	8/263	57/18870	1.17E-06	4.01E-05	3.33E-05	KIF2C/CCNB1/CDT1/AURKB/CDCA8/KIFC1/BIRC5/CDCA5	8
BP	GO:0009069	serine family amino acid metabolic process	7/263	40/18870	1.19E-06	4.02E-05	3.33E-05	BAAT/CDO1/AGXT/SDS/GLYAT/HAO1/CTH	7
BP	GO:0042537	benzene-containing compound metabolic process	6/263	26/18870	1.26E-06	4.22E-05	3.50E-05	ALDH8A1/CYP2E1/SRD5A2/EPHX2/TDO2/UGT1A1	6
BP	GO:0033865	nucleoside bisphosphate metabolic process	11/263	125/18870	1.43E-06	4.62E-05	3.83E-05	BAAT/PDK4/ACSL1/SLC27A2/AASS/GLYAT/ACSM2A/ACSM5/HMGCS2/TDO2/SULT2A1	11
BP	GO:0033875	ribonucleoside bisphosphate metabolic process	11/263	125/18870	1.43E-06	4.62E-05	3.83E-05	BAAT/PDK4/ACSL1/SLC27A2/AASS/GLYAT/ACSM2A/ACSM5/HMGCS2/TDO2/SULT2A1	11
BP	GO:0034032	purine nucleoside bisphosphate metabolic process	11/263	125/18870	1.43E-06	4.62E-05	3.83E-05	BAAT/PDK4/ACSL1/SLC27A2/AASS/GLYAT/ACSM2A/ACSM5/HMGCS2/TDO2/SULT2A1	11
BP	GO:0048285	organelle fission	22/263	488/18870	1.47E-06	4.70E-05	3.90E-05	UBE2S/MYBL2/TOP2A/KIF2C/IGF2/CDK1/CCNB1/CDT1/AURKB/CDCA8/UBE2C/CCNB2/CDC20/KIFC1/SPHK1/BIRC5/CDCA5/CKS2/ZWINT/TPX2/PTTG1/SPC24	22
BP	GO:0010965	regulation of mitotic sister chromatid separation	8/263	59/18870	1.54E-06	4.86E-05	4.03E-05	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0006869	lipid transport	21/263	453/18870	1.65E-06	5.17E-05	4.29E-05	SELENOM/CFHR4/SPP1/AQP9/CYP8B1/NMB/ACSL1/ABCB4/SLC27A2/CYP4A11/APOA5/SLCO1B1/ABCB11/SLC10A1/MFSD2A/APOF/TTPA/CYP4F2/SLC27A5/LCAT/SLC22A1	21
BP	GO:0033045	regulation of sister chromatid segregation	10/263	104/18870	1.93E-06	5.96E-05	4.95E-05	CDK1/CCNB1/AURKB/CDCA8/TACC3/UBE2C/CDC20/BIRC5/ZWINT/SPC24	10
BP	GO:0051306	mitotic sister chromatid separation	8/263	62/18870	2.26E-06	6.88E-05	5.71E-05	CCNB1/AURKB/CDCA8/UBE2C/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0051983	regulation of chromosome segregation	11/263	131/18870	2.27E-06	6.88E-05	5.71E-05	KIF2C/CDK1/CCNB1/AURKB/CDCA8/TACC3/UBE2C/CDC20/BIRC5/ZWINT/SPC24	11
BP	GO:0008228	opsonization	5/263	17/18870	2.73E-06	8.19E-05	6.80E-05	MBL2/FCN2/COLEC10/C4BPA/FCN3	5
BP	GO:0051591	response to cAMP	9/263	85/18870	2.83E-06	8.40E-05	6.97E-05	CRHBP/CPS1/AQP9/FOSB/CDO1/FBP1/HMGCS2/PCK1/FOS	9
BP	GO:0008209	androgen metabolic process	6/263	30/18870	3.10E-06	9.05E-05	7.51E-05	HSD17B6/UGT2B7/SPP1/AKR1D1/SRD5A2/CYP3A4	6
BP	GO:0007094	mitotic spindle assembly checkpoint signaling	7/263	46/18870	3.17E-06	9.05E-05	7.51E-05	CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	7
